url,name,address,neighborhood,latitude,longitude,amenities
https://www.quintoandar.com.br/condominio/servidao-joao-luis-de-souto-100-ingleses-do-rio-vermelho-florianopolis-d71s61n1od,"Condomínio em Servidão João Luís de Souto, 100","Servidão João Luís de Souto, 100",Ingleses,-27.44194984436035,-48.39827346801758,Corrimão; Churrasqueira; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/servidao-verdes-mares-170-ingleses-do-rio-vermelho-florianopolis-knzsy5o5mk,"Condomínio em Servidão Verdes Mares, 170","Servidão Verdes Mares, 170",Ingleses,-27.440778732299805,-48.409141540527344,Vaga de garagem acessível; Rampas de acesso; Corrimão; Churrasqueira
https://www.quintoandar.com.br/condominio/baia-dos-golfinhos-itacorubi-florianopolis-ek99s0em8k,Condomínio Baia dos Golfinhos,"Servidão Feliciano Martins Vieira, 49",Itacorubi,-27.573366165161133,-48.51042938232422,Elevador; Gás encanado
https://www.quintoandar.com.br/condominio/beira-mar-agronomica-florianopolis-7kg3s690op,Condomínio Beira Mar,"Rua Idalina Pereira dos Santos, 136",Agronômica,-27.576337814331055,-48.52621078491211,Elevador; Salão de festas; Gás encanado; Academia; Churrasqueira; Espaço gourmet na área comum; Piscina; Portaria 24h
https://www.quintoandar.com.br/condominio/edificio-saint-paul-abraao-florianopolis-plgsqywr3k,Edifício Saint Paul,"Rua Hercílio de Aquino, 320",Abraão,-27.608308792114258,-48.591487884521484,Corrimão
https://www.quintoandar.com.br/condominio/you-home-design-carvoeira-florianopolis-dzqsg8rvod,Condomínio You Home Design,"Rua Julio D Acia Barreto, 72",Saco dos Limões,-27.604026794433594,-48.52548599243164,Piscina; Vaga de garagem acessível; Academia; Elevador; Salão de jogos; Lavanderia no prédio; Rampas de acesso; Salão de festas; Corrimão; Churrasqueira; Piso tátil
https://www.quintoandar.com.br/condominio/fontainebleau-centro-florianopolis-xplgs4r5wk,Condomínio Fontainebleau,"Rua Almirante Lamego, 830",Centro,-27.590118408203125,-48.55965042114258,Elevador; Salão de festas; Vaga de garagem acessível; Portaria 24h
https://www.quintoandar.com.br/condominio/servidao-marlene-da-silva-43-barra-da-lagoa-florianopolis-0d71s3q70d,"Condomínio em Servidão Marlene da Silva, 43","Servidão Marlene da Silva, 43",Barra da Lagoa,-27.586008071899414,-48.43374252319336,Espaço gourmet na área comum; Gás encanado
https://www.quintoandar.com.br/condominio/servidao-sinfronio-jose-silveira-61-campeche-central-florianopolis-d5zsoyno1d,"Condomínio em Servidão Sinfronio José Silveira, 61","Servidão Sinfronio José Silveira, 61",Rio Tavares,-27.665977478027344,-48.50205612182617,Vaga de garagem acessível; Corrimão
https://www.quintoandar.com.br/condominio/praia-norte-457-ingleses-norte-florianopolis-ndv7sern8d,Condomínio Praia Norte 457,"Rua Brisamar, 611",Ingleses,-27.426233291625977,-48.405696868896484,Vaga de garagem acessível; Corrimão; Piso tátil; Elevador; Piscina; Gás encanado; Rampas de acesso; Salão de festas; Espaço gourmet na área comum; Churrasqueira
https://www.quintoandar.com.br/condominio/residencial-portal-norte-jurere-leste-florianopolis-3keys8jg6p,Residencial Portal Norte,"Rodovia Tertuliano Brito Xavier, 3217",Jurerê,-27.437068939208984,-48.47880554199219,Piscina; Gás encanado; Elevador; Vaga de garagem acessível; Corrimão; Academia; Área verde; Piso tátil; Rampas de acesso; Churrasqueira; Salão de festas
https://www.quintoandar.com.br/condominio/rodovia-tertuliano-brito-xavier-3150-canasvieiras-florianopolis-plgsqx3enk,"Condomínio em Rodovia Tertuliano Brito Xavier, 3150","Rodovia Tertuliano Brito Xavier, 3150",Jurerê,-27.436330795288086,-48.47944259643555,Corrimão; Elevador; Piscina; Salão de festas; Vaga de garagem acessível; Área verde; Academia; Brinquedoteca; Rampas de acesso; Churrasqueira; Salão de jogos
https://www.quintoandar.com.br/condominio/servidao-ernesto-francisco-lucas-1043-sao-joao-do-rio-vermelho-florianopolis-rp0gslz7ok,"Condomínio em Servidão Ernesto Francisco Lucas, 1043","Servidão Ernesto Francisco Lucas, 1043",São João do Rio Vermelho,-27.503652572631836,-48.41347885131836,Espaço gourmet na área comum; Gás encanado; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/ana-lucia-jardim-atlantico-florianopolis-ed5zs1wjgd,Condomínio Ana Lucia,"Rua Nossa Senhora do Rosário, 685",Coloninha,-27.586050033569336,-48.59626007080078,Corrimão; Salão de festas; Piso tátil
https://www.quintoandar.com.br/condominio/residential-condominium-solar-buona-vita-canasvieiras-florianopolis-9p18sl9yxk,Condomínio Residential  Solar Buona Vita,"Rodovia Virgílio Várzea, 4654",Canasvieiras,-27.439205169677734,-48.46441650390625,Área verde; Corrimão; Vaga de garagem acessível; Salão de jogos; Quadra esportiva
https://www.quintoandar.com.br/condominio/francesco-di-arcene-centro-florianopolis-ek99s3y4nk,Condomínio Francesco di Arcene,"Avenida Mauro Ramos, 699",Centro,-27.595090866088867,-48.54391098022461,Elevador; Corrimão; Rampas de acesso; Salão de festas; Vaga de garagem acessível; Piso tátil; Portaria 24h
https://www.quintoandar.com.br/condominio/residencial-solar-da-colina-jardim-atlantico-florianopolis-d37s5x2w2p,Residencial Solar da Colina,"Rua João Evangelista da Costa, 915",Canto,-27.588741302490234,-48.589900970458984,Corrimão; Salão de festas; Elevador; Playground; Vaga de garagem acessível; Portaria 24h
https://www.quintoandar.com.br/condominio/jardim-verde-vale-itacorubi-florianopolis-dw2sxxnm8d,Condomínio Jardim Verde Vale,"Rodovia Admar Gonzaga, 1853",Itacorubi,-27.585315704345703,-48.50004959106445,Rampas de acesso; Corrimão; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/servidao-fermino-severino-sagaz-62-ingleses-norte-florianopolis-p18s02060k,"Condomínio em Servidão Fermino Severino Sagaz, 62","Servidão Fermino Severino Sagaz, 62",Ingleses,-27.44732666015625,-48.39762878417969,Piscina; Rampas de acesso
https://www.quintoandar.com.br/condominio/spazzio-montebelo-corrego-grande-florianopolis-8kojs0on4d,Condomínio Spazzio Montebelo,"Rua Maestro Aldo Krieger, 166",Córrego Grande,-27.601882934570312,-48.49958038330078,Academia; Salão de festas; Elevador; Churrasqueira; Espaço gourmet na área comum; Corrimão; Rampas de acesso; Piso tátil
https://www.quintoandar.com.br/condominio/jardins-de-villandry-saco-dos-limoes-florianopolis-ed5zsryxxd,Condomínio Jardins de Villandry,"Rua das Azaléias, 45",Saco dos Limões,-27.606807708740234,-48.525882720947266,Gás encanado; Espaço gourmet na área comum; Churrasqueira; Lavanderia no prédio
https://www.quintoandar.com.br/condominio/manchester-park-corrego-grande-florianopolis-9d37s439vp,Condomínio Manchester Park,"Rua João Pio Duarte Silva, 94",Córrego Grande,-27.600238800048828,-48.51588439941406,Elevador; Vaga de garagem acessível; Corrimão; Churrasqueira; Rampas de acesso; Piso tátil; Salão de festas; Portaria 24h
https://www.quintoandar.com.br/condominio/novara-assessoria-itacorubi-florianopolis-pm8sqq99zk,Condomínio Novara Assessoria,"Rodovia Admar Gonzaga, 407",Itacorubi,-27.577592849731445,-48.51162338256836,Churrasqueira; Rampas de acesso; Playground; Elevador; Salão de festas; Piso tátil; Gás encanado; Quadra esportiva; Vaga de garagem acessível; Corrimão; Área verde; Portaria 24h
https://www.quintoandar.com.br/condominio/rua-professor-emanoel-paulo-peluso-1209-campeche-florianopolis-djrsv2lwrk,"Condomínio em Rua Professor Emanoel Paulo Peluso, 1209","Rua Professor Emanoel Paulo Peluso, 1209",Campeche,-27.695026397705078,-48.50120162963867,Vaga de garagem acessível; Lavanderia no prédio
https://www.quintoandar.com.br/condominio/servidao-das-aguias-199-campeche-central-florianopolis-3keys080jp,"Condomínio em Servidão das Águias, 199","Servidão das Águias, 199",Campeche,-27.688871383666992,-48.497989654541016,Área verde; Rampas de acesso; Lavanderia no prédio; Corrimão; Vaga de garagem acessível; Piso tátil
https://www.quintoandar.com.br/condominio/servidao-vicentina-custodia-santos-25-ingleses-do-rio-vermelho-florianopolis-8kojso1n3d,"Condomínio em Servidão Vicentina Custódia Santos, 25","Servidão Vicentina Custódia Santos, 25",Ingleses,-27.448047637939453,-48.411827087402344,Corrimão; Gás encanado; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/servidao-jose-cassol-300-ingleses-do-rio-vermelho-florianopolis-wk27syweqp,"Condomínio em Servidão José Cassol, 300","Servidão José Cassol, 300",Ingleses,-27.44706153869629,-48.41215515136719,Churrasqueira; Corrimão; Vaga de garagem acessível
